Date,Team,Acquired,Relinquished,Notes
3/16/12,Warriors,,Stephen Curry,sprained right ankle (DNP)
3/16/12,Warriors,,T.J. Ford,placed on IL
3/16/12,Wizards,,Rashard Lewis,sore left knee (DNP) (F P)
3/16/12,Rockets,Terrence Williams,,activated from IL
3/16/12,Lakers,Darius Morris,,activated from IL
3/17/12,76ers,,Craig Brackins,placed on IL with stomach virus
3/17/12,76ers,Spencer Hawes,,activated from IL
3/17/12,Bobcats,,DeSagana Diop,placed on IL
3/17/12,Bobcats,Cory Higgins,,activated from IL
3/17/12,Bulls,,Derrick Rose,strained groin (DNP)
3/17/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/17/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/17/12,Jazz,,Raja Bell,strained left / right (CBC) adductor (DNP)
3/17/12,Knicks,,Baron Davis,strained right hamstring (DNP)
3/17/12,Mavericks,,Brendan Haywood,placed on IL with sprained right knee
3/17/12,Mavericks,,Shawn Marion,sore left knee (DNP)
3/17/12,Mavericks,Sean Williams,,activated from IL
3/17/12,Nets,,Brook Lopez,placed on IL with sprained right ankle (out for season)
3/17/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/17/12,Pacers,,Jeff Foster,sore lower back (DNP)
3/17/12,Raptors,,Jose Calderon,sprained right ankle (DNP) (F)
3/17/12,Rockets,,Chandler Parsons,illness (DNP)
3/17/12,Rockets,,Derek Fisher,placed on IL
3/17/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/17/12,Rockets,,Marcus Camby,placed on IL
3/17/12,Spurs,Manu Ginobili,,activated from IL
3/17/12,Spurs,Stephen Jackson,,activated from IL
3/17/12,Warriors,,Stephen Curry,sprained right ankle (DNP)
3/17/12,Warriors,Richard Jefferson,,activated from IL
3/17/12,Nuggets,Ronny Turiaf,,activated from IL
3/18/12,Blazers,,Shawne Williams,placed on IL with foot injury (out for season)
3/18/12,Cavaliers,,Anderson Varejao,placed on IL (F) (out for season)
3/18/12,Cavaliers,,Luke Harangody,placed on IL (P)
3/18/12,Clippers,,Travis Leslie,placed on IL
3/18/12,Clippers,Nick Young,,activated from IL
3/18/12,Hawks,,Jannero Pargo,stomach flu / appendicitis (CBC) (DNP)
3/18/12,Hawks,,Marvin Williams,placed on IL with hip flexor injury
3/18/12,Hawks,,Vladimir Radmanovic,back injury (DNP)
3/18/12,Hawks,,Vladimir Radmanovic,sore back (DNP)
3/18/12,Hawks,,Willie Green,hamstring injury (DNP)
3/18/12,Hawks,Jason Collins,,activated from IL
3/18/12,Jazz,,Raja Bell,placed on IL
3/18/12,Jazz,Earl Watson,,activated from IL
3/18/12,Kings,,Tyreke Evans,placed on IL with sprained left ankle
3/18/12,Kings,Francisco Garcia,,activated from IL
3/18/12,Lakers,Jordan Hill,,activated from IL
3/18/12,Magic,,Ish Smith,placed on IL
3/18/12,Magic,Von Wafer,,activated from IL
3/18/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/18/12,Rockets,Marcus Camby,,activated from IL
3/18/12,Timberwolves,,Nikola Pekovic,placed on IL with sore left ankle
3/18/12,Timberwolves,Michael Beasley,,activated from IL
3/18/12,Wizards,,Rashard Lewis,placed on IL with sore left knee (out for season)
3/18/12,Blazers,Elliot Williams,,activated from IL (P)
3/18/12,Blazers,,Elliot Williams,placed on IL (F) (out for season)
3/19/12,Bobcats,,Corey Maggette,placed on IL with back injury
3/19/12,Bobcats,DeSagana Diop,,activated from IL
3/19/12,Bulls,,Derrick Rose,strained groin (DNP)
3/19/12,Cavaliers,,Manny Harris,placed on IL (F)
3/19/12,Hawks,,Vladimir Radmanovic,sore back (DNP)
3/19/12,Magic,,Von Wafer,placed on IL with back injury
3/19/12,Magic,Ish Smith,,activated from IL
3/19/12,Mavericks,,Shawn Marion,sore left knee (DNP)
3/19/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/19/12,Nuggets,,Danilo Gallinari,fractured right thumb (DTD)
3/19/12,Nuggets,,Jordan Hamilton,placed on IL
3/19/12,Nuggets,,Julyan Stone,placed on IL
3/19/12,Nuggets,JaVale McGee,,activated from IL
3/19/12,Timberwolves,,Darko Milicic,placed on IL
3/19/12,Timberwolves,Nikola Pekovic,,activated from IL
3/19/12,Warriors,,Stephen Curry,sprained right ankle (DNP)
3/19/12,Warriors,,Stephen Curry,placed on IL (F)
3/19/12,Hawks,,Jannero Pargo,placed on IL with appendectomy
3/19/12,Hawks,,Jannero Pargo,appendectomy (out indefinitely)
3/20/12,Bucks,,Jon Leuer,placed on IL
3/20/12,Bucks,Ersan Ilyasova,,activated from IL
3/20/12,Clippers,Ryan Gomes,,returned to lineup
3/20/12,Clippers,Travis Leslie,,activated from IL
3/20/12,Heat,,Joel Anthony,sprained left ankle (DNP)
3/20/12,Jazz,,Josh Howard,placed on IL with surgery on left knee
3/20/12,Kings,Tyreke Evans,,activated from IL
3/20/12,Knicks,,Baron Davis,placed on IL with strained right hamstring
3/20/12,Pacers,,Jeff Foster,placed on IL with sore lower back
3/20/12,Pacers,Leandro Barbosa,,activated from IL
3/20/12,Raptors,Jose Calderon,,activated from IL (P)
3/20/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/21/12,76ers,Craig Brackins,,activated from IL
3/21/12,Blazers,,Elliot Williams,surgery on left shoulder (out for season) (date approximate)
3/21/12,Bulls,,Derrick Rose,strained groin (DNP)
3/21/12,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (F P)
3/21/12,Clippers,,Caron Butler,DNP
3/21/12,Hawks,,Jannero Pargo,placed on IL with appendectomy
3/21/12,Hawks,,Marvin Williams,DNP
3/21/12,Hawks,,Vladimir Radmanovic,sore back (DNP)
3/21/12,Hawks,Marvin Williams,,activated from IL
3/21/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/21/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/21/12,Knicks,,Jerome Jordan,placed on IL
3/21/12,Knicks,Baron Davis,,activated from IL
3/21/12,Magic,,Daniel Orton,placed on IL
3/21/12,Magic,Justin Harper,,activated from IL
3/21/12,Mavericks,,Shawn Marion,sore left knee (DNP)
3/21/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/21/12,Nuggets,,Kosta Koufos,placed on IL with left knee tendinitis
3/21/12,Nuggets,,Rudy Fernandez,placed on IL with strained lower back (out for season)
3/21/12,Nuggets,Jordan Hamilton,,activated from IL
3/21/12,Nuggets,Julyan Stone,,activated from IL
3/21/12,Pistons,,Charlie Villanueva,ankle injury (DTD)
3/21/12,Pistons,,Rodney Stuckey,toe injury (DTD)
3/21/12,Spurs,,Matt Bonner,placed on IL with back injury (F)
3/21/12,Spurs,,Patty Mills,placed on IL
3/21/12,Thunder,,Daequan Cook,placed on IL with knee injury
3/21/12,Timberwolves,,Nikola Pekovic,placed on IL with sore left ankle (F)
3/21/12,Timberwolves,,Ricky Rubio,surgery on left knee to repair torn ACL
3/21/12,Warriors,,Andris Biedrins,strained right groin (DNP)
3/21/12,Warriors,,Stephen Curry,sprained right ankle (DNP) (P)
3/21/12,Wizards,,Andray Blatche,conditioning (DNP)
3/21/12,Blazers,Mehmet Okur,,activated from IL
3/22/12,Blazers,,Elliot Williams,placed on IL (P) (out for season)
3/22/12,Hornets,,Carl Landry,sprained MCL in left knee (DNP) (F)
3/22/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/22/12,Jazz,,Raja Bell,strained left / right (CBC) adductor (DNP) (F)
3/22/12,Kings,,Terrence Williams,placed on IL
3/22/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/22/12,Warriors,,Stephen Curry,sprained right ankle (DNP) (P)
3/22/12,Wizards,,Andray Blatche,conditioning (DNP)
3/23/12,Bobcats,,DeSagana Diop,strained right hamstring (P) / knee injury (CBC) (DNP)
3/23/12,Bobcats,,Eduardo Najera,placed on IL with sore left knee
3/23/12,Bobcats,Corey Maggette,,activated from IL
3/23/12,Celtics,,Ray Allen,placed on IL with sore left (P) / right (CBC) ankle
3/23/12,Hawks,,Vladimir Radmanovic,sore back (DNP)
3/23/12,Hawks,,Zaza Pachulia,sore right Achilles tendon (DNP)
3/23/12,Heat,,Terrel Harris,placed on IL
3/23/12,Jazz,,Raja Bell,strained left / right (CBC) adductor (DNP) (F)
3/23/12,Knicks,,Jared Jeffries,placed on IL with right knee inflammation
3/23/12,Knicks,Jerome Jordan,,activated from IL
3/23/12,Magic,,Justin Harper,placed on IL
3/23/12,Magic,Daniel Orton,,activated from IL
3/23/12,Mavericks,,Brendan Haywood,sprained right knee (DNP)
3/23/12,Mavericks,Brendan Haywood,,activated from IL
3/23/12,Pistons,,Rodney Stuckey,sore left big toe (DNP)
3/23/12,Raptors,,Jerryd Bayless,left hip pointer (DTD)
3/23/12,Spurs,, Tony Parker,sore left hamstring (DNP)
3/23/12,Spurs,,Cory Joseph,placed on IL
3/23/12,Spurs,,Tiago Splitter,back spasms (DNP)
3/23/12,Spurs,Matt Bonner,,activated from IL
3/23/12,Timberwolves,,Michael Beasley,sprained left big toe (DNP)
3/23/12,Timberwolves,,Nikola Pekovic,placed on IL with sore left ankle (P)
3/23/12,Timberwolves,Darko Milicic,,activated from IL
3/23/12,Celtics,Chris Wilcox,,activated from IL
3/23/12,Mavericks,,Kelenna Azubuike,placed on IL
3/23/12,Pacers,,Kyrylo Fesenko,placed on IL
3/24/12,Bobcats,,DeSagana Diop,strained right hamstring (F P) (DNP)
3/24/12,Bulls,,Derrick Rose,strained groin (DNP)
3/24/12,Bulls,,Richard Hamilton,right shoulder injury (DNP) (F)
3/24/12,Clippers,,Mo Williams,sprained left big toe (DNP)
3/24/12,Clippers,,Travis Leslie,placed on IL
3/24/12,Hawks,,Tracy McGrady,rest (DNP)
3/24/12,Hornets,,Chris Kaman,illness (DNP)
3/24/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/24/12,Hornets,,Trevor Ariza,sore right ankle (DNP)
3/24/12,Hornets,Carl Landry,,activated from IL (P)
3/24/12,Kings,,Jason Thompson,placed on IL with sprained left ankle
3/24/12,Mavericks,,Brendan Haywood,sprained right knee (DNP)
3/24/12,Nets,,DeShawn Stevenson,flu (DNP)
3/24/12,Pistons,,Rodney Stuckey,sore left big toe (DNP)
3/24/12,Pistons,,Will Bynum,virus (DNP)
3/24/12,Pistons,Charlie Villanueva,,activated from IL
3/24/12,Raptors,,DeMar DeRozan,sore left ankle (DNP)
3/24/12,Raptors,,Jerryd Bayless,left hip pointer (DTD)
3/24/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/24/12,Spurs,,Manu Ginobili,sore hip (DNP) (P)
3/24/12,Spurs,,Manu Ginobili,placed on IL with sore hip (F)
3/24/12,Spurs,,Gary Neal,sprained left foot (DNP)
3/24/12,Spurs,,Tiago Splitter,back spasms (DNP) (P)
3/24/12,Spurs,,Tiago Splitter,placed on IL with back spasms (F)
3/24/12,Warriors,,Andris Biedrins,strained right groin (DNP)
3/24/12,Warriors,,Stephen Curry,sprained right ankle (DNP) (F)
3/24/12,Wizards,,Andray Blatche,placed on IL (F) (out for season)
3/24/12,Warriors,,Chris Wright ,placed on IL (F)
3/25/12,76ers,,Andre Iguodala,patella tendinitis in left knee (DNP)
3/25/12,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (F P)
3/25/12,Celtics,,Mickael Pietrus,placed on IL with neck injury / concussion
3/25/12,Grizzlies,,Josh Selby,placed on IL
3/25/12,Hawks,,Vladimir Radmanovic,back injury (DNP)
3/25/12,Jazz,,Raja Bell,strained left adductor (DNP) (F)
3/25/12,Spurs,,Gary Neal,sprained left foot (DNP)
3/25/12,Spurs,,Tiago Splitter,back spasms (DNP) (P)
3/25/12,Spurs,,Tim Duncan,rest (DNP)
3/25/12,Timberwolves,,Jose Barea ,bruised right thigh (DNP)
3/25/12,Warriors,,Andris Biedrins,strained right groin (DNP)
3/25/12,Warriors,,Stephen Curry,sprained right ankle (DNP) (F)
3/25/12,Wizards,,Nene Hilario ,back spasms (DNP)
3/25/12,Celtics,Ray Allen,,activated from IL
3/25/12,Celtics,,Ray Allen,sore right ankle (DNP)
3/25/12,Thunder,Reggie Jackson ,,activated from IL
3/26/12,Bobcats,,DeSagana Diop,strained right hamstring (P) (DNP)
3/26/12,Bulls,,Derrick Rose,strained groin (DNP)
3/26/12,Bulls,,Richard Hamilton,right shoulder injury (DNP) (F)
3/26/12,Celtics,,Ray Allen,sore right ankle (DNP)
3/26/12,Clippers,,Mo Williams,placed on IL with sprained left big toe
3/26/12,Hornets,,Chris Kaman,illness (DNP)
3/26/12,Knicks,,Amar'e Stoudemire,placed on IL with bulging disc in lower back
3/26/12,Knicks,,Jeremy Lin,sore left (CBC) / right knee (P) (DNP)
3/26/12,Knicks,Jared Jeffries,,activated from IL
3/26/12,Nets,,Anthony Morrow,bruised right shoulder (DNP)
3/26/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/26/12,Nuggets,,Danilo Gallinari,fractured left thumb (DNP)
3/26/12,Raptors,,DeMar DeRozan,sore left / right ankle (DNP)
3/26/12,Rockets,,Greg Smith ,placed on IL (F)
3/26/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/26/12,Wizards,,Trevor Booker,right knee tendinitis (DNP)
3/27/12,76ers,,Andre Iguodala,patella tendinitis in left knee (DNP)
3/27/12,76ers,Craig Brackins,,activated from IL (P)
3/27/12,Bucks,,Carlos Delfino,right groin injury (DNP)
3/27/12,Bucks,,Ersan Ilyasova,back spasms (DNP)
3/27/12,Cavaliers,,Daniel Gibson,sprained left ankle (DNP) (F P)
3/27/12,Lakers,,Jordan Hill,sprained right knee (DNP)
3/27/12,Mavericks,,Brendan Haywood,sprained right knee (DNP)
3/27/12,Raptors,,Jerryd Bayless,partially torn left oblique muscle (out for season)
3/27/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/27/12,Spurs,,Tiago Splitter,placed on IL with back spasms (P)
3/27/12,Spurs,Patty Mills,,activated from IL
3/27/12,Suns,,Grant Hill,right knee inflammation (DNP)
3/27/12,Timberwolves,,Jose Barea ,bruised right thigh (DNP)
3/27/12,Warriors,,Andris Biedrins,strained right groin (DNP)
3/27/12,Warriors,,Stephen Curry,placed on IL with sprained right ankle (out for season)
3/28/12,Bobcats,,Cory Higgins,placed on IL
3/28/12,Bobcats,,Tyrus Thomas,elbow injury (DNP)
3/28/12,Bobcats,Eduardo Najera,,activated from IL
3/28/12,Bulls,,Derrick Rose,strained groin (DNP)
3/28/12,Bulls,,Richard Hamilton,right shoulder injury (DNP) (F)
3/28/12,Cavaliers,,Daniel Gibson,torn tendon in left ankle (DNP)
3/28/12,Celtics,,Ray Allen,sore right ankle (DNP)
3/28/12,Hawks,,Vladimir Radmanovic,sore back (DNP)
3/28/12,Hornets,,Chris Kaman,illness (DNP)
3/28/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/28/12,Hornets,,Trevor Ariza,sore right ankle (DNP)
3/28/12,Kings,,John Salmons,placed on IL with hip injury (out for season)
3/28/12,Kings,Jason Thompson,,activated from IL
3/28/12,Knicks,,Jeremy Lin,sore right knee (P) (DNP)
3/28/12,Magic,,Daniel Orton,placed on IL
3/28/12,Magic,Von Wafer,,activated from IL
3/28/12,Nets,,Anthony Morrow,bruised right shoulder (DNP)
3/28/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/28/12,Nuggets,,Danilo Gallinari,placed on IL with fractured left thumb
3/28/12,Nuggets,Kosta Koufos,,activated from IL
3/28/12,Pistons,,Ben Gordon,groin injury (DTD)
3/28/12,Raptors,,James Johnson,upper respiratory infection (DNP)
3/28/12,Raptors,,Jerryd Bayless,placed on IL with partially torn left oblique muscle (out for season)
3/28/12,Spurs,,Justin Dentmon,placed on IL
3/28/12,Spurs,Tiago Splitter,,activated from IL
3/28/12,Suns,,Grant Hill,right knee inflammation (DNP)
3/28/12,Suns,,Markieff Morris,flu (DNP)
3/28/12,Timberwolves,,Jose Barea ,bruised right quadricep (DNP)
3/28/12,Timberwolves,,Michael Beasley,sprained left big toe (DNP)
3/28/12,Warriors,,Andris Biedrins,strained right groin (DNP)
3/29/12,Blazers,,Nolan Smith,ear infection (DNP)
3/29/12,Hornets,,Chris Kaman,illness (DNP)
3/29/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/29/12,Hornets,,Jarrett Jack,sore right ankle (DNP)
3/29/12,Hornets,,Trevor Ariza,sore right ankle (DNP)
3/29/12,Mavericks,,Dominique Jones,placed on IL
3/29/12,Mavericks,Delonte West,,activated from IL
3/29/12,Nuggets,,Rudy Fernandez,surgery on lower back (out for season)
3/29/12,Wizards,,Andray Blatche,placed on IL (P) (out for season)
3/30/12,Blazers,,LaMarcus Aldridge,sprained left elbow (DNP)
3/30/12,Bobcats,,DeSagana Diop,placed on IL
3/30/12,Bobcats,Cory Higgins,,activated from IL
3/30/12,Bucks,,Carlos Delfino,placed on IL with right groin injury
3/30/12,Bucks,Jon Leuer,,activated from IL
3/30/12,Bulls,,Derrick Rose,strained groin (DNP)
3/30/12,Cavaliers,,Daniel Gibson,torn tendon in left ankle (DNP)
3/30/12,Cavaliers,,Daniel Gibson,placed on IL with torn tendon in left ankle
3/30/12,Celtics,,Jermaine O'Neal,arthroscopic surgery on left wrist (out for season)
3/30/12,Celtics,,Ray Allen,sore right ankle (DNP)
3/30/12,Hawks,,Tracy McGrady,illness (DNP)
3/30/12,Hawks,,Vladimir Radmanovic,sore back (DNP)
3/30/12,Heat,Terrel Harris,,activated from IL
3/30/12,Jazz,,Josh Howard,surgery on left knee (DNP) (F)
3/30/12,Kings,,Tyreke Evans,back spasms (DNP)
3/30/12,Knicks,,Jared Jeffries,sore right knee (DNP)
3/30/12,Knicks,,Jeremy Lin,sore left knee (P) (DNP)
3/30/12,Magic,,Von Wafer,placed on IL
3/30/12,Magic,Daniel Orton,,activated from IL
3/30/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/30/12,Nets,,Jordan Williams,concussion (DNP)
3/30/12,Nets,,Shelden Williams,right eye injury (DNP)
3/30/12,Pistons,,Rodney Stuckey,sore left hamstring (DNP)
3/30/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
3/30/12,Suns,,Grant Hill,surgery on right knee to repair torn meniscus
3/30/12,Timberwolves,,Jose Barea ,bruised right quadricep (DNP)
3/30/12,Timberwolves,,Michael Beasley,strained left big toe (DNP)
3/30/12,Warriors,,Andris Biedrins,strained right groin (DNP)
3/30/12,Rockets,,Malcolm Thomas ,placed on IL (F)
3/31/12,Bobcats,,Corey Maggette,placed on IL with strained right Achilles tendon
3/31/12,Bobcats,DeSagana Diop,,activated from IL
3/31/12,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP)
3/31/12,Grizzlies,,Dante Cunningham,sprained left ankle (DNP)
3/31/12,Grizzlies,,Mike Conley Jr.,sore right ankle (DNP)
3/31/12,Hawks,,Tracy McGrady,illness (DNP)
3/31/12,Hawks,,Vladimir Radmanovic,back injury (DNP)
3/31/12,Hornets,,Carl Landry,sprained right ankle (DNP)
3/31/12,Hornets,,Chris Kaman,illness (DNP)
3/31/12,Hornets,,Emeka Okafor,sore left knee (DNP)
3/31/12,Hornets,,Trevor Ariza,sore right ankle (DNP)
3/31/12,Jazz,,Josh Howard,surgery on left knee (DNP) (F)
3/31/12,Knicks,,Jared Jeffries,placed on IL with sore right knee
3/31/12,Knicks,,Jeremy Lin,sore left knee (P) (DNP)
3/31/12,Knicks,Bill Walker,,activated from IL
3/31/12,Nets,,Jordan Farmar,sore right groin (DNP)
3/31/12,Nets,,Shelden Williams,right eye injury (DNP)
3/31/12,Pistons,,Ben Gordon,sore groin (DNP)
3/31/12,Pistons,,Rodney Stuckey,sore left hamstring (DNP)
4/1/12,Blazers,,Joel Przybilla,sprained right knee (DNP)
4/1/12,Bulls,,Derrick Rose,strained groin (DNP)
4/1/12,Celtics,,Ray Allen,sore right ankle (DNP)
4/1/12,Heat,,Eddy Curry,placed on IL
4/1/12,Hornets,,Carl Landry,sprained right ankle (DNP)
4/1/12,Hornets,,Emeka Okafor,sore left knee (DNP) (P)
4/1/12,Hornets,,Emeka Okafor,placed on IL (F) (out for season)
4/1/12,Hornets,,Trevor Ariza,sore right ankle (DNP) (P)
4/1/12,Hornets,,Trevor Ariza,placed on IL (F)
4/1/12,Magic,,Dwight Howard,placed on IL with back injury
4/1/12,Magic,Justin Harper,,activated from IL
4/1/12,Nuggets,,Wilson Chandler,strained left groin (DTD)
4/1/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
4/1/12,Rockets,,Kyle Lowry,bacterial infection (DNP) (F)
4/1/12,Timberwolves,,Darko Milicic,strained right hamstring (DNP)
4/1/12,Timberwolves,,Jose Barea ,bruised right quadricep (DNP)
4/1/12,Timberwolves,,Michael Beasley,placed on IL with strained left big toe
4/1/12,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP)
4/1/12,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP)
4/1/12,Timberwolves,Nikola Pekovic,,activated from IL
4/1/12,Timberwolves,,Nikola Pekovic,bone spurs in right ankle (DNP)
4/2/12,Blazers,,Jamal Crawford,right knee injury (DNP)
4/2/12,Bucks,,Beno Udrih,left hand injury (DNP)
4/2/12,Bulls,,Derrick Rose,strained groin (DNP)
4/2/12,Bulls,Richard Hamilton,,activated from IL (P)
4/2/12,Cavaliers,,Daniel Gibson,surgery on left foot and ankle to repair torn tendon
4/2/12,Grizzlies,,Dante Cunningham,sprained left ankle (DNP)
4/2/12,Grizzlies,,Mike Conley Jr.,sore right ankle (DNP)
4/2/12,Jazz,,Josh Howard,surgery on left knee (DNP) (F)
4/2/12,Knicks,,Jeremy Lin,surgery on left knee to repair torn meniscus (out for season)
4/2/12,Mavericks,,Jason Kidd,placed on IL with strained right groin
4/2/12,Mavericks,,Lamar Odom,illness (DNP)
4/2/12,Mavericks,Dominique Jones,,activated from IL
4/2/12,Rockets,,Kevin Martin,strained right shoulder (DNP)
4/2/12,Rockets,,Kyle Lowry,bacterial/sinus infection (DNP) (F)
4/2/12,Thunder,,Reggie Jackson ,placed on IL
4/2/12,Thunder,Daequan Cook,,activated from IL
4/2/12,Timberwolves,,Darko Milicic,strained right hamstring (DNP)
4/2/12,Timberwolves,,Jose Barea ,bruised right quadricep (DNP)
4/2/12,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP)
4/2/12,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP)
4/3/12,Bobcats,,DeSagana Diop,placed on IL (F)
4/3/12,Cavaliers,,Daniel Gibson,recovering from surgery on left foot and ankle to repair torn tendon (DNP)
4/3/12,Heat,,Dwyane Wade,placed on IL with bruised left knee
4/3/12,Heat,Eddy Curry,,activated from IL
4/3/12,Kings,,Marcus Thornton ,calf injury (DTD)
4/3/12,Knicks,,Bill Walker,sore left elbow (DNP)
